,0,1,2,3
0,Muhammadammad Ali,1.0,Donald Trump,1.0
1,Smail Ayad,0.9969021836688221,Barack Obama,0.5740908917897439
2,Najim Laachraoui,0.9967755292977037,Vladimir Putin,0.5421186529758995
3,Ibrahim El Bakraoui,0.9965987216542285,James Comey,0.37670355438188324
4,Muhammad Abrini,0.9942038583387567,Bashar Al Assad,0.23832933297646905
5,Khalid El Bakraoui,0.9937382670824993,Benjamin Netanyahu,0.22131907360067837
6,Seifeddine Rezgui,0.9927982131712202,Recep Tayyip Erdogan,0.21841752866308353
7,Rohan Imtiaz,0.9897330371709867,Hillary Clinton,0.19747290486428368
8,Meer Saameh Mubasheer,0.9897330371709867,Rex Tillerson,0.1707623760412094
9,Foued Muhammad Aggad,0.989600807911012,Michael Flynn,0.15691549187243378
10,Adel Kermiche,0.9893271228085543,Emmanuel Macron,0.14854190762193203
11,Michael Zehaf Bibeau,0.9893064076588178,Robertert Mueller,0.11278087768511738
12,Saleh Abdeslam,0.9890870112852632,Sean Spicer,0.11053139752767704
13,Bilal Hadfi,0.9890834862432022,Jared Kushner,0.10916831609365132
14,Vadim Osmanov,0.9890834862432021,Mahmoud Abbas,0.10084015177131975
15,Rakhim Bulgarov,0.9890834862432021,Bashar Assad,0.09707089091255398
16,Muhammad Ozturk,0.9888721898591477,Jim Mattis,0.09327369610722863
17,Safia Schmitter,0.9888721898591476,Theresa May,0.09081836416338508
18,Al Jurah,0.9888721898591476,Devin Nunes,0.08975808954481622
19,Ismail Mostefai,0.9888721898591476,James Mattis,0.08874023791635581
20,Riaz Khan Ahmadzai,0.9888721898591475,Dmitry Peskov,0.08213959657581256
21,Sid Ahmad Ghlam,0.9888721898591475,Hr Mcmaster,0.0801413141683821
22,Enes Omaragic,0.9888721898591475,Steve Bannon,0.07824792288567135
23,Yasin Salhi,0.9888721898591474,Sergei Lavrov,0.07542440308691888
24,Dian Joni Kurnaiadi,0.9888721898591474,John Mccain,0.07416461289669672
25,Moussa Coulibaly,0.9888721898591474,Sadiq Khan,0.07203379491479768
26,Dalal Al Hashimi,0.9888721898591474,Abdul Fattah Al Sisi,0.06673268135787111
27,Muhammad Daleel,0.9888721898591474,Salman,0.057970004282318695
28,Ayoub,0.9888721898591474,Sergey Kislyak,0.05519445959544346
29,Omar Abdul Hamid El Hussein,0.9888721898591473,Angela Merkel,0.05446054391513363
30,Sarah Hervouet,0.9888721898591473,Sergey Lavrov,0.05149724269783738
31,Hasanah,0.9888721898591473,Paul Manafort,0.04976268203242037
32,Khairul Islam Paye,0.9888721898591472,Abdullah,0.045721342596129026
33,Brahim Abdulslam,0.9888721898591472,George W Bush,0.04549810059441559
34,Samy Amimour,0.9888721898591472,Narendra Modi,0.044441072943852376
35,Chakib Ahrouh,0.9888721898591472,Hassan Rouhani,0.04244537458651259
36,Ahmad Muhammadazan,0.9888721898591472,Ashraf Ghani,0.04054092484554438
37,Tarek Belgacem,0.9888721898591472,Mahmud Abbas,0.04000394464724895
38,Arif Sunakim,0.9888721898591472,Sayfullo Saipov,0.038920569719983686
39,Ibrahim Sulayman,0.9888721898591472,Mike Pence,0.03606886314491989
40,Ines Madani,0.988872189859147,Chuck Schumer,0.035247639787961624
41,Khaled Babouri,0.988872189859147,Tayyip Erdogan,0.034964631232731004
42,Muhammad,0.9132089537343498,Haider Al Abadi,0.03232447569855371
43,Muhammadammad,0.8814765914224559,Nikki Haley,0.03215228350407303
44,Farhad Jabar,0.826117374330006,John Kelly,0.031963939719370345
45,Larossi Abballa,0.8186390605068068,Saad Hariri,0.03073369733388622
46,Dahir Ahmad Adan,0.8182839887569445,Jeff Sessions,0.02966421894497565
47,Ihsas Khan,0.8182839887569443,Adam Schiff,0.029475985166883198
48,Anis Amri More,0.818109180006865,Jens Stoltenberg,0.029432349922971314
49,Abdul Malik Nabil Petitjean,0.818109180006865,Rod Rosenstein,0.029336000206596647
